,ID,p7,p12,p5,p15,p9,p2,p17,p18,p20,p6
191,141,4,4,3,4,4,4,3,4,4,3
192,142,4,3,3,4,3,3,2,3,4,3
193,142,1,3,2,4,3,3,4,3,3,3
194,143,3,3,3,4,3,3,3,3,3,3
195,144,4,4,3,4,4,4,4,4,4,4
196,144,4,4,3,4,4,4,4,4,4,4
197,145,3,4,2,4,3,3,2,4,4,2
198,146,1,4,4,4,4,1,3,3,3,4
199,147,4,3,2,4,3,2,4,3,3,3
200,147,4,3,3,4,3,3,3,3,3,3
201,148,4,4,3,4,4,3,4,3,3,4
202,149,3,3,4,4,3,3,4,4,4,2
203,149,3,3,3,3,3,3,3,3,3,3
204,150,4,3,2,4,2,3,3,3,3,3
205,150,3,2,2,3,2,3,3,3,4,2
206,151,3,2,2,3,3,3,3,3,3,2
207,152,4,4,3,4,3,4,4,4,4,4
208,152,4,3,3,4,4,4,4,4,4,3
209,152,4,4,4,4,4,4,4,4,4,4
210,154,3,3,2,4,2,3,2,3,4,3
211,155,3,4,2,4,4,3,4,3,4,2
212,155,4,3,2,3,3,2,3,4,4,3
213,156,3,3,2,4,3,4,3,4,4,3
214,156,3,3,3,4,3,4,3,3,4,3
215,157,3,3,2,4,3,3,3,4,3,2
216,158,3,3,2,3,2,3,3,3,3,3
217,158,3,3,2,3,2,2,3,2,2,2
218,158,3,3,2,3,3,2,2,3,2,2
219,159,3,2,2,4,4,3,2,3,3,2
220,159,3,2,1,3,2,3,2,3,3,2
221,159,3,4,2,4,4,3,3,3,3,3
222,160,2,4,4,4,4,4,3,4,3,4
223,161,3,3,2,4,3,3,3,3,4,2
224,162,3,4,3,4,3,4,3,3,4,3
225,162,4,3,3,4,3,4,3,3,3,3
226,163,2,3,4,4,3,3,4,3,4,3
227,164,3,4,2,4,4,3,4,3,4,3
228,164,3,4,2,4,3,4,4,3,4,3
229,165,3,2,2,3,2,4,2,3,3,2
230,166,4,4,4,4,4,4,4,4,4,4
231,167,4,4,3,4,3,4,3,3,4,4
232,168,3,3,3,4,3,3,3,3,3,3
233,169,1,4,2,4,4,4,3,4,4,4
234,170,4,4,3,4,4,4,4,4,4,4
235,170,2,3,3,4,3,3,4,4,2,3
236,171,3,3,2,3,3,3,3,3,3,3
237,172,4,3,3,4,3,4,4,4,3,3
238,172,4,4,3,4,4,3,4,4,3,4
239,173,4,4,3,4,4,4,4,4,4,4
240,173,4,4,4,4,4,4,4,4,4,4
241,173,4,4,4,4,4,4,4,3,4,4
242,174,3,2,2,4,2,3,4,4,3,3
243,174,3,4,4,4,4,3,2,3,4,4
244,175,4,3,3,4,3,3,3,4,4,3
245,175,4,3,2,4,2,4,4,4,4,3
246,176,4,3,4,4,2,3,2,3,3,4
247,177,3,3,3,4,3,3,3,3,3,3
248,178,4,3,2,4,3,3,2,3,3,2
249,179,4,3,2,3,3,4,4,3,4,3
250,180,2,3,3,3,3,4,2,3,3,3
251,181,3,3,2,4,3,3,2,3,4,2
252,182,2,4,3,4,4,2,3,4,4,3
253,183,3,3,2,4,4,3,4,3,3,4
254,183,3,3,3,4,4,3,4,3,4,2
255,184,2,3,4,4,3,3,3,3,3,3
256,184,3,2,3,4,3,3,3,4,3,3
257,185,4,4,4,4,4,4,4,3,4,4
258,186,4,4,3,4,4,4,4,4,4,2
259,187,1,4,4,4,4,1,4,1,1,4
260,188,3,2,3,4,4,3,2,4,4,2
261,188,3,3,3,3,3,2,3,4,4,2
262,189,3,3,3,3,4,4,3,3,4,3
263,190,4,3,2,4,4,3,4,3,3,2
264,191,2,3,3,4,4,3,4,4,4,3
265,192,4,4,4,4,4,4,3,3,4,4
266,193,4,4,4,4,4,1,3,3,4,4
267,193,2,2,3,4,3,3,4,3,3,3
268,194,1,4,2,2,2,3,4,3,3,2
269,195,1,4,4,4,3,3,2,3,3,4
270,196,3,2,2,4,2,3,4,3,4,2
271,197,1,4,4,4,4,4,2,4,3,3
272,198,3,3,4,3,3,3,3,4,4,3
273,199,1,4,4,4,4,4,4,3,4,4
274,200,3,4,4,4,3,3,4,4,4,4
275,201,3,3,2,4,3,3,4,4,1,3
276,202,4,3,3,4,4,3,4,4,4,2
277,202,4,4,3,4,2,4,4,4,4,3
278,203,3,4,3,4,3,3,3,3,3,3
279,203,4,3,3,3,3,3,2,3,3,3
280,204,1,4,2,4,4,1,3,3,4,4
281,204,3,2,2,2,2,3,2,3,3,2
282,205,4,3,3,4,3,4,4,4,4,3
283,206,4,3,3,3,3,4,4,4,3,3
284,207,4,4,4,4,4,4,4,4,4,3
285,208,1,4,4,4,2,3,2,3,4,4
286,209,3,2,3,4,3,3,3,4,4,3
287,210,4,3,2,4,3,3,4,4,4,3
288,211,3,3,3,4,4,3,3,3,4,3
289,211,4,2,2,2,2,3,2,4,4,3
290,212,3,4,2,4,3,3,4,3,3,3
291,213,3,4,4,4,4,4,4,4,4,4
292,214,3,4,3,4,4,3,4,4,4,3
293,214,3,4,3,4,2,4,3,3,3,4
294,215,3,2,2,4,2,3,4,4,4,2
295,216,2,4,4,4,3,3,4,3,4,4
296,217,2,4,3,4,3,4,3,4,4,3
297,218,4,4,3,4,4,4,4,4,4,3
298,219,3,2,2,4,3,3,4,4,4,3
299,220,4,4,4,3,4,4,3,4,4,3
300,220,4,3,4,3,3,4,3,3,4,4
301,221,3,3,2,4,3,3,4,3,4,3
302,222,4,4,4,4,4,4,4,4,4,4
303,222,1,4,4,4,4,4,4,4,4,4
304,223,4,3,3,3,3,3,3,4,4,3
305,223,3,4,4,4,4,3,4,3,4,4
306,224,2,3,3,2,3,3,3,1,1,3
307,225,3,3,2,4,3,3,3,3,3,1
308,226,3,3,3,4,3,3,4,3,4,3
309,226,2,4,3,4,4,3,4,3,3,3
310,227,2,2,2,3,4,4,3,3,4,3
311,228,3,3,3,4,3,3,3,3,4,4
312,228,3,2,2,4,3,4,3,3,3,2
313,229,1,4,4,3,4,3,3,3,4,4
314,229,3,4,2,4,4,3,4,3,3,4
315,230,2,4,4,4,3,4,4,3,4,4
316,230,1,4,3,4,4,4,3,1,4,4
317,231,3,4,3,4,3,3,4,4,4,2
318,232,3,3,4,3,3,4,3,4,4,3
319,233,4,4,3,4,4,4,4,3,4,4
320,234,3,3,2,4,3,3,3,3,4,2
321,235,3,4,3,4,3,3,3,4,4,3
322,236,3,3,2,3,3,3,3,3,3,3
323,237,3,2,4,4,4,4,4,3,3,4
324,238,4,4,4,4,3,4,4,4,4,3
325,239,2,3,3,4,3,1,4,3,4,3
326,239,1,4,2,4,3,3,4,3,4,4
327,240,3,3,3,3,3,3,4,3,4,3
328,241,4,3,2,3,3,3,3,4,4,3
329,241,4,3,2,3,3,4,3,4,4,3
330,242,4,4,4,4,4,4,4,1,1,4
331,243,1,4,4,4,4,3,3,1,1,4
332,243,1,4,4,4,4,2,1,3,4,4
333,244,4,3,2,3,3,3,4,4,4,2
334,245,3,3,3,3,3,4,3,3,4,3
335,245,2,4,3,4,4,2,4,3,3,3
336,246,3,4,2,4,3,3,4,4,3,3
337,247,1,3,4,4,3,4,3,3,4,4
338,248,2,3,3,4,3,4,3,4,4,3
339,248,2,3,3,4,3,4,4,4,4,3
340,249,2,3,4,3,3,4,3,4,4,3
341,250,4,4,4,4,4,3,3,3,4,4
342,251,4,4,4,4,4,4,4,3,4,4
343,251,3,3,3,4,3,3,4,4,4,3
344,252,3,4,2,3,4,4,4,4,4,2
345,253,2,2,4,4,4,2,1,4,3,4
346,254,4,4,4,4,4,4,4,3,4,4
347,255,3,4,2,4,4,4,4,4,4,2
348,255,4,4,4,4,4,4,4,3,3,4
349,256,4,4,3,4,4,3,4,3,4,3
350,257,3,3,3,3,3,4,3,3,3,4
351,257,2,3,3,4,3,4,3,3,3,3
352,258,1,3,3,4,3,3,3,3,3,3
353,259,4,3,3,4,3,4,3,4,3,3
354,260,1,2,2,4,3,3,4,3,1,3
355,261,3,3,2,2,3,3,3,3,3,4
356,262,4,4,2,4,3,4,3,3,4,2
357,263,3,2,2,4,4,3,3,3,3,2
358,263,1,3,3,4,3,3,4,3,4,2
359,264,4,3,3,3,3,3,3,3,3,3
360,264,3,3,3,3,3,3,3,3,4,3
361,265,3,2,2,4,4,3,4,3,4,3
362,265,4,3,4,4,4,4,4,4,4,3
363,266,4,3,2,3,3,4,2,3,4,2
364,267,3,3,2,4,3,4,4,3,4,3
365,268,4,4,3,4,4,4,4,4,4,3
366,268,3,4,3,4,3,4,4,3,1,3
367,269,3,3,3,3,4,3,3,4,4,3
368,269,2,3,2,3,3,3,3,4,4,2
369,270,2,3,4,4,3,4,4,4,4,3
370,271,4,3,1,4,4,3,4,4,3,2
371,271,3,4,2,2,4,1,2,3,3,4
372,272,4,2,2,4,2,4,3,4,4,2
373,272,4,3,3,4,4,3,4,4,4,3
374,273,4,3,2,4,2,1,3,3,3,4
375,273,3,4,2,4,4,4,4,4,3,4
376,274,3,4,4,4,4,3,4,3,3,2
377,275,3,4,3,4,3,4,4,3,3,4
378,276,4,3,3,4,2,3,2,1,4,3
379,277,3,3,3,4,3,3,4,4,4,3
380,278,4,2,3,3,3,4,3,3,4,2
381,279,4,4,2,4,4,3,4,4,4,2
382,280,1,4,2,4,2,3,2,3,3,4
383,281,4,4,3,4,3,3,4,1,4,3
384,282,4,4,3,4,3,4,4,4,3,4
385,282,4,4,4,4,4,1,4,4,4,4
386,283,3,4,2,4,3,3,3,3,4,4
387,284,1,4,2,4,4,1,4,3,4,4
388,285,3,2,2,4,2,3,4,3,3,2
389,286,3,3,3,4,3,4,4,3,4,3
390,286,2,3,2,4,3,3,4,3,4,2
391,287,2,4,4,3,3,4,4,4,4,3
392,288,3,4,4,2,4,4,3,3,4,3
393,288,4,4,3,2,4,4,3,3,3,3
394,289,4,4,3,4,4,4,4,4,4,4
395,290,2,4,3,4,4,4,3,4,4,3
396,291,2,4,4,4,3,4,3,3,4,4
397,292,4,4,2,4,4,3,4,4,4,2
398,293,3,3,3,4,2,3,3,4,4,3
399,293,1,3,2,4,2,3,4,3,3,2
400,293,3,2,2,4,2,2,2,3,4,3
401,294,4,4,4,4,4,3,2,3,3,2
